/*********************************************
 * OPL 12.7.0.0 Data
 * Author: Asus
 * Creation Date: 10 août 2022 at 16:40:37
 *********************************************/
/*k=7;
na=[1 1 2 1 1 1 1];
p=[[3 0],[2 0],[6 5],[2 0],[2 0],[1 0],[1 0]];
w=[[2 0],[5 0],[11 13],[1 0],[1 0], [1 0],[1 0]];
//mat_incidence=[[0 1 0 1],[0 0 1 1],[0 0 0 0],[0 0 0 0]];
mat_incidence=[[0 1 1 0 0 0 0],[0 0 0 1 0 0 0],[0 0 0 0 1 0 0],[0 0 0 0 0 0 0],[0 0 0 0 0 1 0],[0 0 0 0 0 0 1],[0 0 0 0 0 0 0]];
W=9;*/

/*k=6;
na=[1 1 2 1 1 1];
p=[[3 0],[2 0],[6 5],[8 0],[2 0],[1 0]];
w=[[20 0],[5 0],[13 13],[4 0],[3 0], [1 0]];
//mat_incidence=[[0 1 0 1],[0 0 1 1],[0 0 0 0],[0 0 0 0]];
mat_incidence=[[0 1 1 0 0 0],[0 0 0 1 0 0],[0 0 0 0 1 0],[0 0 0 0 0 0],[0 0 0 0 0 1],[0 0 0 0 0 0]];
W=9;*/

/*k=7;
na=[1 1 1 1 1 1 1];
p=[[1 0],[1 0],[1 0],[1 0],[1 0],[1 0],[1 0]];
w=[[1 0],[1 0],[1 0],[1 0],[10 0], [1 0],[10 0]];
//mat_incidence=[[0 1 0 1],[0 0 1 1],[0 0 0 0],[0 0 0 0]];
mat_incidence=[[0 0 1 0 0 0 0],[1 0 0 0 0 1 0],[0 0 0 1 1 0 0],[0 0 0 0 0 0 0],[0 0 0 0 0 0 1],[0 0 0 0 0 0 0],[0 1 0 0 0 0 0]];
W=6;*/

//k=7;
//na=[1 1 1 1 1 1 1];
//p=[[1 0],[1 0],[1 0],[1 0],[1 0],[1 0],[1 0]];
//w=[[1 0],[1 0],[1 0],[1 0],[10 0], [1 0],[10 0]];
////mat_incidence=[[0 1 0 1],[0 0 1 1],[0 0 0 0],[0 0 0 0]];
//mat_incidence=[[0 0 1 0 0 0 0],[1 0 0 0 0 1 7],[0 0 0 1 1 0 0],[0 0 0 0 0 0 0],[0 0 0 0 0 0 1],[0 0 0 0 0 0 0],[0 0 0 0 0 0 0]];
//W=6;
 
m=3; //le nombre d'objet maximum dans na
k=80; //K ensembles: taille de na ou bien n nodes
W=24774; //La borne des poids.
na=[ 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 3 1 1 1 1 1 2 2 1 2 1 3 0  ];

w=[ [ 31 0 0  ],[ 9 0 0  ],[ 99 0 0  ],[ 71 0 0  ],[ 8 0 0  ],[ 42 0 0  ],[ 54 0 0  ],[ 68 53 0  ],[ 44 0 0  ],[ 3 0 0  ],[ 55 0 0  ],[ 95 92 0  ],[ 51 0 0  ],[ 45 51 0  ],[ 36 0 0  ],[ 33 63 0  ],[ 29 0 0  ],[ 42 0 0  ],[ 90 0 0  ],[ 82 0 0  ],[ 57 0 0  ],[ 25 44 0  ],[ 99 0 0  ],[ 10 0 0  ],[ 41 0 0  ],[ 36 0 0  ],[ 11 0 0  ],[ 90 0 0  ],[ 32 0 0  ],[ 38 0 0  ],[ 55 63 0  ],[ 14 29 0  ],[ 81 85 0  ],[ 67 0 0  ],[ 44 0 0  ],[ 80 0 0  ],[ 34 0 0  ],[ 58 0 0  ],[ 74 0 0  ],[ 81 64 0  ],[ 20 0 0  ],[ 35 0 0  ],[ 30 0 0  ],[ 26 0 0  ],[ 32 0 0  ],[ 80 0 0  ],[ 31 0 0  ],[ 39 0 0  ],[ 42 0 0  ],[ 78 0 0  ],[ 14 0 0  ],[ 76 34 0  ],[ 29 0 0  ],[ 68 0 0  ],[ 56 24 0  ],[ 29 0 0  ],[ 22 0 0  ],[ 68 0 0  ],[ 63 0 0  ],[ 82 0 0  ],[ 18 0 0  ],[ 75 0 0  ],[ 43 0 0  ],[ 50 0 0  ],[ 39 79 70  ],[ 34 0 0  ],[ 60 0 0  ],[ 96 16 91  ],[ 57 0 0  ],[ 67 0 0  ],[ 1 0 0  ],[ 88 0 0  ],[ 73 0 0  ],[ 3 26 0  ],[ 75 57 0  ],[ 99 0 0  ],[ 14 85 0  ],[ 71 0 0  ],[ 61 47 53  ],[ 0 0 0  ] ]; 

p=[ [ 47 0 0  ],[ 2 0 0  ],[ 53 0 0  ],[ 33 0 0  ],[ 76 0 0  ],[ 94 0 0  ],[ 47 0 0  ],[ 43 34 0  ],[ 62 0 0  ],[ 16 0 0  ],[ 65 0 0  ],[ 90 22 0  ],[ 57 0 0  ],[ 85 77 0  ],[ 63 0 0  ],[ 81 93 0  ],[ 30 0 0  ],[ 21 0 0  ],[ 24 0 0  ],[ 12 0 0  ],[ 40 0 0  ],[ 89 43 0  ],[ 98 0 0  ],[ 82 0 0  ],[ 38 0 0  ],[ 8 0 0  ],[ 69 0 0  ],[ 1 0 0  ],[ 36 0 0  ],[ 57 0 0  ],[ 3 3 0  ],[ 51 50 0  ],[ 92 68 0  ],[ 27 0 0  ],[ 70 0 0  ],[ 4 0 0  ],[ 5 0 0  ],[ 93 0 0  ],[ 20 0 0  ],[ 80 51 0  ],[ 37 0 0  ],[ 70 0 0  ],[ 95 0 0  ],[ 93 0 0  ],[ 61 0 0  ],[ 85 0 0  ],[ 61 0 0  ],[ 54 0 0  ],[ 85 0 0  ],[ 92 0 0  ],[ 86 0 0  ],[ 39 5 0  ],[ 35 0 0  ],[ 45 0 0  ],[ 15 34 0  ],[ 48 0 0  ],[ 87 0 0  ],[ 72 0 0  ],[ 14 0 0  ],[ 24 0 0  ],[ 74 0 0  ],[ 77 0 0  ],[ 52 0 0  ],[ 93 0 0  ],[ 3 38 88  ],[ 72 0 0  ],[ 43 0 0  ],[ 9 86 45  ],[ 4 0 0  ],[ 67 0 0  ],[ 95 0 0  ],[ 87 0 0  ],[ 19 0 0  ],[ 47 17 0  ],[ 24 86 0  ],[ 4 0 0  ],[ 12 27 0  ],[ 46 0 0  ],[ 82 82 35  ],[ 0 0 0  ] ]; 

//mat_incidence=[[0 1 0 1],[0 0 1 1],[0 0 0 0],[0 0 0 0]];
mat_incidence=[ [ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  ], 
